INFO:root:Using Tensorboard, logs will be saved in ./fire/logs
INFO:root:Creating model...
INFO:root:Setting up data...
INFO:root:loading annotations into memory...
INFO:root:Found 2343 annotation files.
INFO:root:Load 2343 xml files and 2986 boxes
INFO:root:Done (t=708.87s)
INFO:root:loading annotations into memory...
INFO:root:Found 618 annotation files.
INFO:root:Load 618 xml files and 774 boxes
INFO:root:Done (t=185.40s)
INFO:root:Training batch size: 80
INFO:root:Starting training...
INFO:root:Start warming up...
INFO:root:train|Epoch20/160|Iter562(10/29)| lr:1.40e-01| loss_qfl:0.1979| loss_bbox:0.3623| loss_dfl:0.2167| 
INFO:root:train|Epoch20/160|Iter572(20/29)| lr:1.40e-01| loss_qfl:0.2098| loss_bbox:0.3609| loss_dfl:0.2167| 
INFO:root:val|Epoch20/160|Iter581(0/618)| lr:1.40e-01| loss_qfl:0.7298| loss_bbox:0.5849| loss_dfl:0.2579| 
INFO:root:val|Epoch20/160|Iter581(10/618)| lr:1.40e-01| loss_qfl:0.3572| loss_bbox:0.6866| loss_dfl:0.3626| 
INFO:root:val|Epoch20/160|Iter581(20/618)| lr:1.40e-01| loss_qfl:0.2526| loss_bbox:0.6994| loss_dfl:0.3647| 
INFO:root:val|Epoch20/160|Iter581(30/618)| lr:1.40e-01| loss_qfl:0.3197| loss_bbox:0.6959| loss_dfl:0.3512| 
INFO:root:val|Epoch20/160|Iter581(40/618)| lr:1.40e-01| loss_qfl:0.3563| loss_bbox:0.7254| loss_dfl:0.3589| 
INFO:root:val|Epoch20/160|Iter581(50/618)| lr:1.40e-01| loss_qfl:0.4719| loss_bbox:0.8169| loss_dfl:0.3930| 
INFO:root:val|Epoch20/160|Iter581(60/618)| lr:1.40e-01| loss_qfl:0.3033| loss_bbox:0.6523| loss_dfl:0.3613| 
INFO:root:val|Epoch20/160|Iter581(70/618)| lr:1.40e-01| loss_qfl:0.6505| loss_bbox:1.0103| loss_dfl:0.6055| 
INFO:root:val|Epoch20/160|Iter581(80/618)| lr:1.40e-01| loss_qfl:0.1575| loss_bbox:0.5975| loss_dfl:0.3429| 
INFO:root:val|Epoch20/160|Iter581(90/618)| lr:1.40e-01| loss_qfl:0.2577| loss_bbox:0.7050| loss_dfl:0.3578| 
INFO:root:val|Epoch20/160|Iter581(100/618)| lr:1.40e-01| loss_qfl:0.3684| loss_bbox:0.6549| loss_dfl:0.3303| 
INFO:root:val|Epoch20/160|Iter581(110/618)| lr:1.40e-01| loss_qfl:0.3139| loss_bbox:0.6501| loss_dfl:0.3196| 
INFO:root:val|Epoch20/160|Iter581(120/618)| lr:1.40e-01| loss_qfl:0.2457| loss_bbox:0.5818| loss_dfl:0.3085| 
INFO:root:val|Epoch20/160|Iter581(130/618)| lr:1.40e-01| loss_qfl:0.3829| loss_bbox:0.8122| loss_dfl:0.3549| 
INFO:root:val|Epoch20/160|Iter581(140/618)| lr:1.40e-01| loss_qfl:0.4468| loss_bbox:0.6145| loss_dfl:0.3023| 
INFO:root:val|Epoch20/160|Iter581(150/618)| lr:1.40e-01| loss_qfl:0.4155| loss_bbox:0.7319| loss_dfl:0.3917| 
INFO:root:val|Epoch20/160|Iter581(160/618)| lr:1.40e-01| loss_qfl:0.5400| loss_bbox:0.5981| loss_dfl:0.3354| 
INFO:root:val|Epoch20/160|Iter581(170/618)| lr:1.40e-01| loss_qfl:0.2297| loss_bbox:0.6528| loss_dfl:0.3909| 
INFO:root:val|Epoch20/160|Iter581(180/618)| lr:1.40e-01| loss_qfl:0.4491| loss_bbox:0.7796| loss_dfl:0.4401| 
INFO:root:val|Epoch20/160|Iter581(190/618)| lr:1.40e-01| loss_qfl:0.2738| loss_bbox:0.7563| loss_dfl:0.3653| 
INFO:root:val|Epoch20/160|Iter581(200/618)| lr:1.40e-01| loss_qfl:0.3328| loss_bbox:0.6856| loss_dfl:0.3213| 
INFO:root:val|Epoch20/160|Iter581(210/618)| lr:1.40e-01| loss_qfl:0.4012| loss_bbox:0.6668| loss_dfl:0.3738| 
INFO:root:val|Epoch20/160|Iter581(220/618)| lr:1.40e-01| loss_qfl:0.3909| loss_bbox:0.6396| loss_dfl:0.3868| 
INFO:root:val|Epoch20/160|Iter581(230/618)| lr:1.40e-01| loss_qfl:0.2564| loss_bbox:0.7462| loss_dfl:0.3789| 
INFO:root:val|Epoch20/160|Iter581(240/618)| lr:1.40e-01| loss_qfl:0.2661| loss_bbox:0.6998| loss_dfl:0.3098| 
INFO:root:val|Epoch20/160|Iter581(250/618)| lr:1.40e-01| loss_qfl:0.3588| loss_bbox:0.7319| loss_dfl:0.2187| 
INFO:root:val|Epoch20/160|Iter581(260/618)| lr:1.40e-01| loss_qfl:0.4212| loss_bbox:0.8744| loss_dfl:0.2779| 
INFO:root:val|Epoch20/160|Iter581(270/618)| lr:1.40e-01| loss_qfl:0.4149| loss_bbox:0.7691| loss_dfl:0.2947| 
INFO:root:val|Epoch20/160|Iter581(280/618)| lr:1.40e-01| loss_qfl:0.2450| loss_bbox:0.7441| loss_dfl:0.3211| 
